1962 BANGALORE BAKERY SWEETS
SIVA SAKTHI  genaral stores
SKANDAN SUPERMARTS LLP
SLN BAKERY SAI NAGAR
SLV Supermart JNTU
SOMESWARA TRADERS
Sree Patel Chocolate Home
SREE SREE SETTY KONDAIAH KIRANA SHOP
SREE VIJAYADURGA MEDICAL AND GENARAL
SREE VISHNU SAAI SUPER MART
Sreenivasa  kirana & Genaral Stores
SRI  Lakshmi Venkatasai  G/S
SRI ANANTHALAKSHMI TRADERS
Sri Krishna Traders
SRI LAKSHMI BALAJI GENERAL STORES
Sri Lakshmi Bangalore Bakery
Sri Lakshmi Narasimha A1 Super Market
Sri Lakshmi Narasimha Millets
Sri Raghavendra  bl bakery
SRI RAJA RAM  KIRANA STORES
SRI RAMA GENARAL STORES
SRI RAMA GENERAL
Sri Sai Dhanvanthari Medical
SRI SAI G/S THILAK ROAD
SRI SAI GENARAL
SRI SAI HANUMAN G/S TDP
SRI SAI HARSHITHA MEDICAL STORE
SRI SAI PAVAN AGENCIES
Sri Sai Vatsalya Medical
Sri Shanmukha Traders
SRI TS MART
SRI V SUPER MART
SRI V.VENKATA NARAYANA
Sri Valli Xerox
SRI VANI GENERAL STORES
Sri Venkateswara Super Mart
SRI VINAYAKA SUPER MARKET
SRI VINAYAKA SUPER MARKET( old)
SRI VISWASAI TRADERS
SUJATHA HYPER MART
SULTHAN BAKERY
Supraja Dry Fruits Shop
Supraja General Stores
SURYA SUPER MARKET
SWAGRUHA FOODS RAJU ROAD
SWATHI HERBLE
T  Manthra
T M R SUPER MART
THANVIKA SUPER MARKET
UDAYAGIRI PROVISIONS
UNIVERSAL BAKERY
V S R HEALTHY DRY FRUITS
V SREENIVASA MOORTHY
VARAHI  SWEETS & BAKERS
VARAHI BAKERY
VIKRAM TRADERS
VILLAGE  SUPER STORES
VILLAGE SUPER MARKET
Vinayaka (mahesh)
Vishnu Home Foods
VISWA SAI G/S ASHOK NAGAR
VIYANSHI FAMILY MART
VRM ENTERPRISES
YALAKANTI SWAGRUHA FOODS
ZAHEER AGENCIES


